Sala: 101 , Prédio: CAA , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Introdução À Física Nuclear E De Partículas , Administração , Radiobiologia , Física Aplicada À Biologia , Promoção Da Saúde I 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , , , , , 
14:50:00 - 15:40:00 , , , , , , , 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 103 , Prédio: CAC , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Planejamento E Controle De Obras , , , Planejamento E Controle De Obras , Introdução À Arquitetura I 
08:50:00 - 09:40:00 , , , Planejamento E Controle De Obras , , , Planejamento E Controle De Obras , Introdução À Arquitetura I 
10:00:00 - 10:50:00 , , , Planejamento E Controle De Obras , , , Planejamento E Controle De Obras , Introdução À Arquitetura I 
10:50:00 - 11:40:00 , , , Planejamento E Controle De Obras , , , Planejamento E Controle De Obras , Introdução À Arquitetura I 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Histórias Em Quadrinhos De Autor , Introdução À Arquitetura I , Dibujo Del Paisaje Urbano , , 
14:50:00 - 15:40:00 , , , Histórias Em Quadrinhos De Autor , Introdução À Arquitetura I , Dibujo Del Paisaje Urbano , , 
16:00:00 - 16:50:00 , , , Histórias Em Quadrinhos De Autor , Introdução À Arquitetura I , , , 
16:50:00 - 17:40:00 , , , Histórias Em Quadrinhos De Autor , Introdução À Arquitetura I , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , , , , 
21:15:00 - 22:00:00 , , , , , , , 
Sala: 104 , Prédio: CAC , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Trabalho De Conclusão De Curso 2 , Seminários Temáticos Em Comunicação , Sociologia Da Violência E Do Conflito , Filosofia Da Linguagem , Representação Descritiva I 
08:50:00 - 09:40:00 , , , Trabalho De Conclusão De Curso 2 , Seminários Temáticos Em Comunicação , Sociologia Da Violência E Do Conflito , Filosofia Da Linguagem , Representação Descritiva I 
10:00:00 - 10:50:00 , , , Instituições Internacionais , Seminários Temáticos Em Comunicação , Sociologia Da Violência E Do Conflito , Sociologia , Representação Descritiva I 
10:50:00 - 11:40:00 , , , Instituições Internacionais , Seminários Temáticos Em Comunicação , Sociologia Da Violência E Do Conflito , Sociologia , Representação Descritiva I 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Introdução À Ciência Política , Jornalismo Especializado , Geometria Analítica , Teoria Da Imagem , Tópicos De Filosofia Vi 
14:50:00 - 15:40:00 , , , Introdução À Ciência Política , Jornalismo Especializado , Geometria Analítica , Teoria Da Imagem , Tópicos De Filosofia Vi 
16:00:00 - 16:50:00 , , , Introdução À Ciência Política , Jornalismo Especializado , Cálculo Diferencial , Teoria Da Imagem , Tópicos De Filosofia Vi 
16:50:00 - 17:40:00 , , , Introdução À Ciência Política , Jornalismo Especializado , Cálculo Diferencial , Teoria Da Imagem , Tópicos De Filosofia Vi 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , Antropologia 1 , Antropologia 3 , Antropologia 3 , Filosofia Da Linguagem , Filosofia Da Linguagem 
19:35:00 - 20:20:00 , , , Antropologia 1 , Antropologia 3 , Antropologia 3 , Filosofia Da Linguagem , Filosofia Da Linguagem 
20:30:00 - 21:15:00 , , , Antropologia 1 , Antropologia 3 , Antropologia 3 , Filosofia Da Linguagem , Filosofia Da Linguagem 
21:15:00 - 22:00:00 , , , Antropologia 1 , Antropologia 3 , Antropologia 3 , Filosofia Da Linguagem , Filosofia Da Linguagem 
Sala: 105 , Prédio: CAC , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , , Indexação E Resumos , Geografia Da População I , , Cálculo Diferencial 
08:50:00 - 09:40:00 , , , , Indexação E Resumos , Geografia Da População I , , Cálculo Diferencial 
10:00:00 - 10:50:00 , , , Mercadologia , Indexação E Resumos , Mercadologia , , Introdução A Computação 
10:50:00 - 11:40:00 , , , Mercadologia , Indexação E Resumos , Mercadologia , , Introdução A Computação 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Laboratório De Relações Internacionais Ii , , , , Trabalho De Conclusão De Curso 2 
14:50:00 - 15:40:00 , , , Laboratório De Relações Internacionais Ii , , , , Trabalho De Conclusão De Curso 2 
16:00:00 - 16:50:00 , , , , , , , 
16:50:00 - 17:40:00 , , , , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , Análise De Dados Categorizados , , Cartografia I , Amostragem I , Estatística Computacional I 
19:35:00 - 20:20:00 , , , Análise De Dados Categorizados , , Cartografia I , Amostragem I , Estatística Computacional I 
20:30:00 - 21:15:00 , , , Bioestatística , , Bioestatística , Análise De Dados Categorizados , Estatística Computacional I 
21:15:00 - 22:00:00 , , , Bioestatística , , Bioestatística , Análise De Dados Categorizados , Estatística Computacional I 
Sala: 107 , Prédio: CAC , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , Estágio Supervisionado Iii:Escola E Diversidade 
08:00:00 - 08:50:00 , , , Geomorfologia I , Tópicos Em Sensoriamento Remoto , Estágio Supervisionado Iii:Escola E Diversidade , Rp Especializada I , Estágio Supervisionado Iii:Escola E Diversidade 
08:50:00 - 09:40:00 , , , Geomorfologia I , Tópicos Em Sensoriamento Remoto , Estágio Supervisionado Iii:Escola E Diversidade , Rp Especializada I , Estágio Supervisionado Iii:Escola E Diversidade 
10:00:00 - 10:50:00 , , , Metodologia De Ensino De Geografia I , Tópicos Em Sensoriamento Remoto , Mercadologia , Rp Especializada I , Mercadologia 
10:50:00 - 11:40:00 , , , Metodologia De Ensino De Geografia I , Tópicos Em Sensoriamento Remoto , Mercadologia , Rp Especializada I , Mercadologia 
11:40:00 - 12:30:00 , , , Economia Ambiental , , , , Estágio Supervisionado Iii:Escola E Diversidade 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Tópicos De Sociologia I , Tópicos Em Sensoriamento Remoto , Geopolítica Das Águas , Tópicos Contemporâneos: Mídias Digitais , 
14:50:00 - 15:40:00 , , , Tópicos De Sociologia I , Tópicos Em Sensoriamento Remoto , Geopolítica Das Águas , Tópicos Contemporâneos: Mídias Digitais , 
16:00:00 - 16:50:00 , , , Probabilidade I , Tópicos Em Sensoriamento Remoto , Geopolítica Das Águas , Tópicos Contemporâneos: Mídias Digitais , Trabalho De Conclusão De Curso 2 
16:50:00 - 17:40:00 , , , Probabilidade I , Tópicos Em Sensoriamento Remoto , Geopolítica Das Águas , Tópicos Contemporâneos: Mídias Digitais , Trabalho De Conclusão De Curso 2 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , Amostragem I , Tópicos De Sociologia I , Análise De Dados Categorizados , Estatística Computacional I , Estágio Supervisionado Em Geografia Iii 
19:35:00 - 20:20:00 , , , Amostragem I , Tópicos De Sociologia I , Análise De Dados Categorizados , Estatística Computacional I , Estágio Supervisionado Em Geografia Iii 
20:30:00 - 21:15:00 , , , Estágio Supervisionado Em Geografia Iii , Tópicos De Sociologia I , Estágio Supervisionado Em Geografia I , , Geografia E Sociedade 
21:15:00 - 22:00:00 , , , Estágio Supervisionado Em Geografia Iii , Tópicos De Sociologia I , Estágio Supervisionado Em Geografia I , , Geografia E Sociedade 
Sala: 108 , Prédio: CAC , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Tópicos Em Geologia , Climatologia Ii , Tópicos Em Matemática , Fotojornalismo , Tópicos Em Matemática 
08:50:00 - 09:40:00 , , , Tópicos Em Geologia , Climatologia Ii , Tópicos Em Matemática , Fotojornalismo , Tópicos Em Matemática 
10:00:00 - 10:50:00 , , , Tópicos Em Geologia , Climatologia Ii , Tópicos Em Matemática , Fotojornalismo , Produção De Texto Jornalístico I 
10:50:00 - 11:40:00 , , , Tópicos Em Geologia , Climatologia Ii , Tópicos Em Matemática , Fotojornalismo , Produção De Texto Jornalístico I 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Tópicos Em Sensoriamento Remoto , Geopolítica Das Águas , Análise Real I , Tópicos De Sociologia I , Análise Real I 
14:50:00 - 15:40:00 , , , Tópicos Em Sensoriamento Remoto , Geopolítica Das Águas , Análise Real I , Tópicos De Sociologia I , Análise Real I 
16:00:00 - 16:50:00 , , , Tópicos Em Sensoriamento Remoto , Geopolítica Das Águas , Análise De Dados Categorizados , Tópicos De Sociologia I , Probabilidade I 
16:50:00 - 17:40:00 , , , Tópicos Em Sensoriamento Remoto , Geopolítica Das Águas , Análise De Dados Categorizados , Tópicos De Sociologia I , Probabilidade I 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , Bioestatística , Amostragem I , Bioestatística , Bioestatística , Análise De Dados Categorizados 
19:35:00 - 20:20:00 , , , Bioestatística , Amostragem I , Bioestatística , Bioestatística , Análise De Dados Categorizados 
20:30:00 - 21:15:00 , , , Amostragem I , Bioestatística , Análise De Dados Categorizados , Amostragem I , Amostragem I 
21:15:00 - 22:00:00 , , , Amostragem I , Bioestatística , Análise De Dados Categorizados , Amostragem I , Amostragem I 
Sala: 109 , Prédio: CAC , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , Fundam. Filos. E Sócio-Hist Da Educação , , , , 
08:00:00 - 08:50:00 , , , Fundam. Filos. E Sócio-Hist Da Educação , Tópicos De Sociologia I , Geografia Agrária I , Tópicos Em Geografia Humana , Rp Especializada I 
08:50:00 - 09:40:00 , , , Fundam. Filos. E Sócio-Hist Da Educação , Tópicos De Sociologia I , Geografia Agrária I , Tópicos Em Geografia Humana , Rp Especializada I 
10:00:00 - 10:50:00 , , , Fundam. Filos. E Sócio-Hist Da Educação , Sociologia Da Violência E Do Conflito , Filosofia Da Linguagem , Tópicos Em Geografia Humana , Rp Especializada I 
10:50:00 - 11:40:00 , , , Fundam. Filos. E Sócio-Hist Da Educação , Sociologia Da Violência E Do Conflito , Filosofia Da Linguagem , Tópicos Em Geografia Humana , Rp Especializada I 
11:40:00 - 12:30:00 , , , Fundam. Filos. E Sócio-Hist Da Educação , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Trabalho De Conclusão De Curso 2 , Introdução À Computação , Trabalho De Conclusão De Curso 2 , Tópicos De Relações Internacionais , Filosofia Da Linguagem 
14:50:00 - 15:40:00 , , , Trabalho De Conclusão De Curso 2 , Introdução À Computação , Trabalho De Conclusão De Curso 2 , Tópicos De Relações Internacionais , Filosofia Da Linguagem 
16:00:00 - 16:50:00 , , , Filosofia Da Linguagem , Estatística Computacional I , Geopolítica E Geografia Política Ii , Tópicos De Relações Internacionais , Filosofia Da Linguagem 
16:50:00 - 17:40:00 , , , Filosofia Da Linguagem , Estatística Computacional I , Geopolítica E Geografia Política Ii , Tópicos De Relações Internacionais , Filosofia Da Linguagem 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , Estágio Supervisionado Em Geografia I , Estágio Supervisionado Em Geografia I , Estágio Supervisionado Em Geografia Iii , Estágio Supervisionado Em Geografia Iii , Geografia E Sociedade 
19:35:00 - 20:20:00 , , , Estágio Supervisionado Em Geografia I , Estágio Supervisionado Em Geografia I , Estágio Supervisionado Em Geografia Iii , Estágio Supervisionado Em Geografia Iii , Geografia E Sociedade 
20:30:00 - 21:15:00 , , , Filosofia Da Linguagem , Estágio Supervisionado Em Geografia I , Sociologia Da Violência E Do Conflito , Estágio Supervisionado Em Geografia Iii , Antropologia 3 
21:15:00 - 22:00:00 , , , Filosofia Da Linguagem , Estágio Supervisionado Em Geografia I , Sociologia Da Violência E Do Conflito , Estágio Supervisionado Em Geografia Iii , Antropologia 3 
Sala: 201 , Prédio: CAC , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Instituições Internacionais , Laboratório De Relações Internacionais Ii , Instituições Internacionais , Laboratório De Relações Internacionais Ii , Trabalho De Conclusão De Curso 2 
08:50:00 - 09:40:00 , , , Instituições Internacionais , Laboratório De Relações Internacionais Ii , Instituições Internacionais , Laboratório De Relações Internacionais Ii , Trabalho De Conclusão De Curso 2 
10:00:00 - 10:50:00 , , , Mercadologia , Instituições Internacionais , Mercadologia , Filosofia Da Linguagem , Trabalho De Conclusão De Curso 2 
10:50:00 - 11:40:00 , , , Mercadologia , Instituições Internacionais , Mercadologia , Filosofia Da Linguagem , Trabalho De Conclusão De Curso 2 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Fotojornalismo , Introdução À Ciência Política , Cálculo Diferencial , Sociologia , Geometria Analítica 
14:50:00 - 15:40:00 , , , Fotojornalismo , Introdução À Ciência Política , Cálculo Diferencial , Sociologia , Geometria Analítica 
16:00:00 - 16:50:00 , , , Fotojornalismo , Introdução À Ciência Política , Administração , Sociologia , Introdução À Ciência Política 
16:50:00 - 17:40:00 , , , Fotojornalismo , Introdução À Ciência Política , Administração , Sociologia , Introdução À Ciência Política 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , Filosofia Da Linguagem , Antropologia 1 , Filosofia Da Linguagem , Filosofia Da Linguagem , Antropologia 1 
19:35:00 - 20:20:00 , , , Filosofia Da Linguagem , Antropologia 1 , Filosofia Da Linguagem , Filosofia Da Linguagem , Antropologia 1 
20:30:00 - 21:15:00 , , , , Estatística Computacional I , Filosofia Da Linguagem , Filosofia Da Linguagem , Antropologia 1 
21:15:00 - 22:00:00 , , , , Estatística Computacional I , Filosofia Da Linguagem , Filosofia Da Linguagem , Antropologia 1 
Sala: 202 , Prédio: CAC , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Mercadologia , Teoria Política I , Teoria Política I , Representação Descritiva I , Teoria Política I 
08:50:00 - 09:40:00 , , , Mercadologia , Teoria Política I , Teoria Política I , Representação Descritiva I , Teoria Política I 
10:00:00 - 10:50:00 , , , Representação Descritiva I , Representação Descritiva I , Instituições Internacionais , Representação Descritiva I , Instituições Internacionais 
10:50:00 - 11:40:00 , , , Representação Descritiva I , Representação Descritiva I , Instituições Internacionais , Representação Descritiva I , Instituições Internacionais 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Filosofia Da Linguagem , Administração , Farmacobotânica , , Cálculo Diferencial 
14:50:00 - 15:40:00 , , , Filosofia Da Linguagem , Administração , Farmacobotânica , , Cálculo Diferencial 
16:00:00 - 16:50:00 , , , Filosofia Da Linguagem , Produção De Texto Jornalístico I , Cálculo 1c , , Sociologia 
16:50:00 - 17:40:00 , , , Filosofia Da Linguagem , Produção De Texto Jornalístico I , Cálculo 1c , , Sociologia 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , Antropologia 3 , Estágio Supervisionado Em Geografia Iii , Antropologia 1 , Sociologia Da Violência E Do Conflito , Antropologia 3 
19:35:00 - 20:20:00 , , , Antropologia 3 , Estágio Supervisionado Em Geografia Iii , Antropologia 1 , Sociologia Da Violência E Do Conflito , Antropologia 3 
20:30:00 - 21:15:00 , , , , Estágio Supervisionado Em Geografia Iii , Antropologia 1 , Sociologia Da Violência E Do Conflito , 
21:15:00 - 22:00:00 , , , , Estágio Supervisionado Em Geografia Iii , Antropologia 1 , Sociologia Da Violência E Do Conflito , 
Sala: 203 , Prédio: CAC , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Representação Descritiva I , Instituições Internacionais , Representação Descritiva I , Trabalho De Conclusão De Curso 2 , Indexação E Resumos 
08:50:00 - 09:40:00 , , , Representação Descritiva I , Instituições Internacionais , Representação Descritiva I , Trabalho De Conclusão De Curso 2 , Indexação E Resumos 
10:00:00 - 10:50:00 , , , Filosofia Da Linguagem , Assessoria E Consultoria Em Comunicação , Teoria Política I , Instituições Internacionais , Indexação E Resumos 
10:50:00 - 11:40:00 , , , Filosofia Da Linguagem , Assessoria E Consultoria Em Comunicação , Teoria Política I , Instituições Internacionais , Indexação E Resumos 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Assessoria E Consultoria Em Comunicação , Produção De Texto Jornalístico I , , , Farmacobotânica 
14:50:00 - 15:40:00 , , , Assessoria E Consultoria Em Comunicação , Produção De Texto Jornalístico I , , , Farmacobotânica 
16:00:00 - 16:50:00 , , , Assessoria E Consultoria Em Comunicação , , , , 
16:50:00 - 17:40:00 , , , Assessoria E Consultoria Em Comunicação , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , Geografia E Sociedade , Sociologia Da Violência E Do Conflito , Antropologia 3 , 
19:35:00 - 20:20:00 , , , , Geografia E Sociedade , Sociologia Da Violência E Do Conflito , Antropologia 3 , 
20:30:00 - 21:15:00 , , , , Geografia E Sociedade , , Antropologia 3 , 
21:15:00 - 22:00:00 , , , , Geografia E Sociedade , , Antropologia 3 , 
Sala: 204 , Prédio: CAC , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Filosofia Da Linguagem , Ciência Política 3 , Ciência Política 3 , Administração , Ciência Política 3 
08:50:00 - 09:40:00 , , , Filosofia Da Linguagem , Ciência Política 3 , Ciência Política 3 , Administração , Ciência Política 3 
10:00:00 - 10:50:00 , , , Filosofia Da Linguagem , Ciência Política 3 , Ciência Política 3 , Administração , Ciência Política 3 
10:50:00 - 11:40:00 , , , Filosofia Da Linguagem , Ciência Política 3 , Ciência Política 3 , Administração , Ciência Política 3 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Sociologia , Sociologia , Teoria Da Imagem , Seminários Temáticos Em Comunicação , Administração 
14:50:00 - 15:40:00 , , , Sociologia , Sociologia , Teoria Da Imagem , Seminários Temáticos Em Comunicação , Administração 
16:00:00 - 16:50:00 , , , Sociologia , Sociologia , Teoria Da Imagem , Seminários Temáticos Em Comunicação , Álgebra Linear 
16:50:00 - 17:40:00 , , , Sociologia , Sociologia , Teoria Da Imagem , Seminários Temáticos Em Comunicação , Álgebra Linear 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , Filosofia Da Linguagem , Filosofia Da Linguagem , Filosofia Da Linguagem , Antropologia 1 , 
19:35:00 - 20:20:00 , , , Filosofia Da Linguagem , Filosofia Da Linguagem , Filosofia Da Linguagem , Antropologia 1 , 
20:30:00 - 21:15:00 , , , Filosofia Da Linguagem , Filosofia Da Linguagem , Filosofia Da Linguagem , Antropologia 1 , 
21:15:00 - 22:00:00 , , , Filosofia Da Linguagem , Filosofia Da Linguagem , Filosofia Da Linguagem , Antropologia 1 , 
Sala: 205 , Prédio: CAC , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Filosofia Da Linguagem , Representação Descritiva I , Filosofia Da Linguagem , Instituições Internacionais , Instituições Internacionais 
08:50:00 - 09:40:00 , , , Filosofia Da Linguagem , Representação Descritiva I , Filosofia Da Linguagem , Instituições Internacionais , Instituições Internacionais 
10:00:00 - 10:50:00 , , , Ciência Política 1 , Laboratório De Relações Internacionais Ii , Representação Descritiva I , Filosofia Da Linguagem , Mercadologia 
10:50:00 - 11:40:00 , , , Ciência Política 1 , Laboratório De Relações Internacionais Ii , Representação Descritiva I , Filosofia Da Linguagem , Mercadologia 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Geometria Analítica , , , , Introdução À Ciência Política 
14:50:00 - 15:40:00 , , , Geometria Analítica , , , , Introdução À Ciência Política 
16:00:00 - 16:50:00 , , , Introdução À Ciência Política , , , , 
16:50:00 - 17:40:00 , , , Introdução À Ciência Política , , , , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , Trabalho Final De Curso 1 , Estágio Supervisionado Em Geografia I , , 
19:35:00 - 20:20:00 , , , , Trabalho Final De Curso 1 , Estágio Supervisionado Em Geografia I , , 
20:30:00 - 21:15:00 , , , , Análise De Dados Categorizados , , , 
21:15:00 - 22:00:00 , , , , Análise De Dados Categorizados , , , 
Sala: 206 , Prédio: CAC , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Administração , Mercadologia , Geografia Agrária I , Mercadologia , Fundam. Filos. E Sócio-Hist Da Educação 
08:50:00 - 09:40:00 , , , Administração , Mercadologia , Geografia Agrária I , Mercadologia , Fundam. Filos. E Sócio-Hist Da Educação 
10:00:00 - 10:50:00 , , , Administração , Mercadologia , Geografia Agrária I , Mercadologia , Fundam. Filos. E Sócio-Hist Da Educação 
10:50:00 - 11:40:00 , , , Administração , Mercadologia , Geografia Agrária I , Mercadologia , Fundam. Filos. E Sócio-Hist Da Educação 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Introdução À Ciência Política , Cálculo 1c , Sociologia , , Sociologia 
14:50:00 - 15:40:00 , , , Introdução À Ciência Política , Cálculo 1c , Sociologia , , Sociologia 
16:00:00 - 16:50:00 , , , Introdução À Ciência Política , Cálculo 1c , Álgebra Linear , , Administração 
16:50:00 - 17:40:00 , , , Introdução À Ciência Política , Cálculo 1c , Álgebra Linear , , Administração 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , , , , , 
19:35:00 - 20:20:00 , , , , , , , 
20:30:00 - 21:15:00 , , , , Antropologia 1 , , , 
21:15:00 - 22:00:00 , , , , Antropologia 1 , , , 
Sala: 208 , Prédio: CAC , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Cartografia I , Cartografia I , Mercadologia , Mercadologia , Geografia Agrária I 
08:50:00 - 09:40:00 , , , Cartografia I , Cartografia I , Mercadologia , Mercadologia , Geografia Agrária I 
10:00:00 - 10:50:00 , , , Cartografia I , Tópicos De Sociologia I , Estágio Supervisionado Iii:Escola E Diversidade , Mercadologia , Geologia Ambiental 
10:50:00 - 11:40:00 , , , Cartografia I , Tópicos De Sociologia I , Estágio Supervisionado Iii:Escola E Diversidade , Mercadologia , Geologia Ambiental 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Cálculo Diferencial , Teoria Da Imagem , Psicologia Organizacional , Produção De Texto Jornalístico I , 
14:50:00 - 15:40:00 , , , Cálculo Diferencial , Teoria Da Imagem , Psicologia Organizacional , Produção De Texto Jornalístico I , 
16:00:00 - 16:50:00 , , , Tópicos De Sociologia I , Teoria Da Imagem , Psicologia Organizacional , Produção De Texto Jornalístico I , 
16:50:00 - 17:40:00 , , , Tópicos De Sociologia I , Teoria Da Imagem , Psicologia Organizacional , Produção De Texto Jornalístico I , 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , Redação E Expressão I , Estatística Computacional I , Redação E Expressão I , , Geografia Agrária I 
19:35:00 - 20:20:00 , , , Redação E Expressão I , Estatística Computacional I , Redação E Expressão I , , Geografia Agrária I 
20:30:00 - 21:15:00 , , , Estágio Supervisionado Em Geografia I , Trabalho Final De Curso 1 , Estágio Supervisionado Em Geografia Iii , , Geografia Agrária I 
21:15:00 - 22:00:00 , , , Estágio Supervisionado Em Geografia I , Trabalho Final De Curso 1 , Estágio Supervisionado Em Geografia Iii , , Geografia Agrária I 
Sala: 209 , Prédio: CAC , Domingo,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
07:10:00 - 08:00:00 , , , , , , , 
08:00:00 - 08:50:00 , , , Sociologia Da Violência E Do Conflito , Fundam. Filos. E Sócio-Hist Da Educação , Filosofia Da Linguagem , Biogeografia , Geologia Ambiental 
08:50:00 - 09:40:00 , , , Sociologia Da Violência E Do Conflito , Fundam. Filos. E Sócio-Hist Da Educação , Filosofia Da Linguagem , Biogeografia , Geologia Ambiental 
10:00:00 - 10:50:00 , , , Sociologia Da Violência E Do Conflito , Fundam. Filos. E Sócio-Hist Da Educação , Geografia Agrária I , Biogeografia , Laboratório De Relações Internacionais Ii 
10:50:00 - 11:40:00 , , , Sociologia Da Violência E Do Conflito , Fundam. Filos. E Sócio-Hist Da Educação , Geografia Agrária I , Biogeografia , Laboratório De Relações Internacionais Ii 
11:40:00 - 12:30:00 , , , , , , , 
13:10:00 - 14:00:00 , , , , , , , 
14:00:00 - 14:50:00 , , , Filosofia Da Linguagem , Fotojornalismo , Geopolítica E Geografia Política Ii , , Tópicos De Sociologia I 
14:50:00 - 15:40:00 , , , Filosofia Da Linguagem , Fotojornalismo , Geopolítica E Geografia Política Ii , , Tópicos De Sociologia I 
16:00:00 - 16:50:00 , , , Trabalho De Conclusão De Curso 2 , Fotojornalismo , , Estatística Computacional I , Tópicos De Sociologia I 
16:50:00 - 17:40:00 , , , Trabalho De Conclusão De Curso 2 , Fotojornalismo , , Estatística Computacional I , Tópicos De Sociologia I 
17:40:00 - 18:30:00 , , , , , , , 
18:05:00 - 18:50:00 , , , , , , , 
18:50:00 - 19:35:00 , , , Estágio Supervisionado Em Geografia Iii , Sociologia Da Violência E Do Conflito , Geografia Agrária I , Estágio Supervisionado Em Geografia I , Estágio Supervisionado Em Geografia I 
